"id","name","party","state","vote.3117","vote.3118","vote.3121","vote.3122","vote.3124","vote.3132","vote.3134","vote.3137","vote.3147","vote.3149","vote.3226","vote.3228","vote.3233","vote.3234","vote.3238","vote.3250","vote.3253","vote.3257","vote.3259","vote.3261","vote.3263","vote.3266","vote.3272","vote.3278","vote.3282","vote.3284","vote.3285","vote.3292","vote.3304","vote.3305","vote.3307","vote.3312","vote.3314","vote.3318","vote.3319","vote.3320","vote.3321","vote.3323","vote.3326","vote.3328","vote.3329","vote.3330","vote.3335","vote.3336","vote.3337","vote.3338","vote.3341","vote.3345","vote.3346","vote.3347","vote.3348","vote.3350","vote.3353","vote.3356","vote.3359","vote.3361","vote.3362","vote.3364","vote.3365","vote.3366","vote.3374","vote.3381","vote.3386","vote.3391","vote.3392","vote.3393","vote.3395","vote.3396","vote.3397","vote.3401","vote.3406","vote.3407","vote.3408","vote.3411","vote.3414","vote.3422","vote.3424","vote.3425","vote.3426","vote.3427","vote.3434","vote.3435","vote.3436","vote.3437","vote.3443","vote.3446","vote.3448","vote.3451","vote.3454","vote.3458","vote.3459","vote.3460","vote.3462","vote.3463","vote.3464","vote.3474","vote.3475","vote.3477","vote.3478","vote.3479","vote.3480","vote.3481","vote.3483","vote.3485","vote.3488","vote.3489","vote.3490","vote.3495","vote.3498","vote.3502","vote.3503","vote.3504","vote.3505","vote.3508","vote.3509","vote.3510"
339,"ARNALDO JARDIM","PPS","SP",2,2,2,1,2,1,1,1,2,2,2,2,5,2,4,4,4,2,2,2,2,1,1,4,2,4,2,1,1,1,5,4,4,1,1,1,1,4,4,4,4,4,4,4,1,4,4,4,5,2,4,4,5,4,5,5,4,4,1,2,4,1,2,4,2,2,2,1,4,2,2,1,4,2,4,2,1,1,1,1,1,1,4,5,4,4,4,5,4,4,4,4,4,2,2,4,4,4,4,4,4,4,1,4,4,4,4,4,5,4,1,5,4,4,1,4
343,"ARNALDO MADEIRA","PSDB","SP",2,5,5,2,2,1,1,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,4,4,2,4,2,3,4,4,4,5,4,3,2,1,1,5,5,4,4,4,4,5,1,5,5,4,5,2,5,2,5,5,5,2,5,5,1,4,5,5,5,5,5,2,3,1,2,1,2,1,1,1,4,2,3,3,1,1,3,1,5,5,5,5,5,4,4,5,5,5,4,2,2,2,2,3,4,2,2,5,5,4,4,4,4,4,5,4,2,5,5,5,5,4
286,"ARNALDO VIANNA","PDT","RJ",1,2,1,1,2,4,4,4,4,4,1,1,2,1,4,2,1,1,1,4,4,4,2,1,2,5,1,1,1,1,2,4,2,1,1,1,1,2,2,1,1,2,1,2,5,2,1,1,2,1,1,2,2,2,2,1,2,1,2,4,2,1,4,4,2,2,1,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,2,4,4,4,1,1,2,4,1,5,2,2,1,4,1,2,2,4
90,"ARNON BEZERRA","PTB","CE",1,5,5,1,4,2,2,1,1,1,1,4,2,4,5,1,4,2,2,1,1,2,4,1,1,4,1,1,1,1,2,1,4,1,4,1,1,2,2,1,4,4,1,4,5,2,4,4,4,4,4,1,2,4,2,1,4,1,4,5,4,1,4,4,2,4,4,4,4,4,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,2,4,1,4,1,4,4,4,4,4,4,1,4,4,1,5,2,2,1,1,1,4,4,4
288,"AROLDE DE OLIVEIRA","DEM","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4
20,"ASDRUBAL BENTES","PMDB","PA",1,2,1,1,4,2,2,1,4,4,4,1,2,1,5,2,1,2,1,2,1,1,2,4,1,2,1,1,1,1,4,1,2,1,1,1,1,2,2,1,4,4,4,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,4,4,4,2,2,4,2,1,1,2,1,1,4,4,4,4,4,1,4,4,4,4,2,4,1,2,4,2,2,1,4,4,4,4,4,4,4,4,1,2,4,2,1,5,2,4,1,1,4,2,2,2
443,"ASSIS DO COUTO","PT","PR",1,2,1,1,4,4,2,4,1,1,1,1,2,1,4,4,1,1,1,2,1,1,4,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,1,4,2,4,1,2,1,2,1,1,1,1,1,1,1,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,4,1,2,2,2,1,3,2,2,1,1,1,2,2,5
38,"ATILA LINS","PMDB","AM",1,2,1,1,1,2,2,1,1,1,1,4,2,4,2,2,1,1,2,4,1,1,1,1,1,5,1,1,1,1,2,1,4,4,4,4,4,2,4,1,1,2,1,2,4,2,2,2,2,1,1,1,4,2,2,1,2,1,2,4,2,1,2,4,2,2,4,2,4,2,1,1,4,4,4,4,4,1,4,1,1,4,2,2,2,4,4,4,4,2,2,2,4,1,4,1,1,1,2,2,4,4,1,1,2,2,1,4,2,4,4,4,1,2,2,4
109,"ATILA LIRA","PSB","PI",1,2,1,1,1,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,5,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,5,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,1,2,4,2,2,1,2,2,2,1,1,1,2,4,1,1,1,4,1,1,1,2,2,2,2,2,2,1,2,2,4,2,1,4,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2
407,"AUGUSTO CARVALHO","PPS","DF",2,4,4,2,4,1,1,2,2,2,4,2,4,4,4,2,2,2,1,2,2,2,1,2,2,4,4,4,1,1,4,4,4,4,4,4,4,1,1,2,2,1,2,1,4,1,1,4,1,2,2,2,1,1,1,2,1,2,1,4,4,1,2,2,2,2,2,1,2,1,4,1,1,2,2,2,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,"AUGUSTO FARIAS","PTB","AL",4,4,5,1,1,2,2,1,1,1,1,1,2,1,5,1,2,1,1,2,1,2,2,1,2,4,1,1,1,1,1,1,2,4,1,1,1,4,2,1,1,2,1,2,4,1,2,4,2,1,1,1,2,2,2,1,2,1,2,4,2,1,4,1,2,4,1,2,2,1,2,1,1,4,1,1,1,1,1,1,4,4,2,2,2,2,2,2,4,4,2,2,2,1,1,4,1,1,2,2,2,5,1,2,2,2,1,5,4,2,1,1,1,2,5,4
529,"AYRTON XEREZ","DEM","RJ",2,5,5,2,4,1,1,2,2,2,2,2,5,2,5,1,2,2,2,4,2,2,2,2,2,4,2,1,2,1,4,4,5,1,1,1,1,5,5,5,5,5,4,4,1,5,4,1,5,2,5,2,4,5,5,2,5,5,5,2,5,4,5,5,3,5,5,5,5,5,2,1,1,5,4,4,1,1,4,4,1,1,4,5,5,5,5,5,5,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,"B  SA","PSB","PI",1,2,1,1,4,2,2,1,1,1,1,1,2,1,4,1,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,4,4,4,2,2,1,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,4,4,2,2,2,2,4,1,1,1,1,2,2,2,4,1,2,2,2,4,4,2,2,1,1,1,2,2,4
455,"BARBOSA NETO","PDT","PR",1,2,1,1,1,1,2,1,1,1,4,4,2,4,4,2,1,1,1,2,1,1,2,1,1,5,4,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,5,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,4,1,1,1,1,1,1,1,1,4,4,2,2,2,4,1,2,2,2,2,1,1,1,1,4,2,2,4,4,1,1,2,2,1,5,2,4,1,1,1,2,2,4
18,"BEL MESQUITA","PMDB","PA",1,2,1,1,5,2,2,1,4,4,1,1,2,4,5,2,1,2,1,2,1,1,2,4,1,4,4,1,1,1,2,1,2,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,4,1,2,4,2,1,2,4,2,2,1,2,2,4,4,1,1,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,1,4,1,1,1,2,2,4,5,1,1,2,2,1,5,4,4,4,4,4,4,4,4
162,"BENEDITO DE LIRA","PP","AL",4,2,1,1,1,2,2,4,1,1,1,1,2,1,5,4,4,4,4,2,1,1,2,1,1,4,1,1,4,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,2,2,1,4,1,2,2,2,1,2,1,2,4,4,1,2,1,2,2,1,2,4,4,2,1,4,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,2,2,2,1,4,1,1,1,2,2,2,5,1,4,2,2,1,4,2,2,1,4,1,2,2,4
291,"BERNARDO ARISTON","PMDB","RJ",1,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,2,1,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,1,2,4,1,4,4,2,4,1,1,2,1,1,4,4,4,4,1,1,2,2,4,2,2,2,4,2,2,4,2,4,4,4,1,1,2,2,2,5,1,2,4,4,4,2,2,2,1,1,1,2,2,4
542,"BETINHO ROSADO","DEM","RN",1,2,1,1,4,2,2,1,1,1,4,4,2,1,4,1,4,4,4,4,4,4,2,1,2,2,1,1,1,1,4,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,1,2,4,4,1,5,4,2,4,1,2,2,2,4,1,1,4,1,4,4,1,4,1,1,1,2,4,4,2,2,2,4,2,2,2,4,1,1,1,4,1,4,2,2,5,5,4,4,4,4,4,2,2,1,1,1,2,4,4
490,"BETO ALBUQUERQUE","PSB","RS",1,2,1,1,4,2,2,1,1,1,1,4,4,4,2,1,4,1,1,4,4,4,4,4,1,4,1,1,1,1,2,1,4,4,4,4,4,4,4,4,1,2,1,4,5,2,2,4,2,1,4,1,2,2,2,1,2,1,2,5,4,4,4,4,4,2,1,2,4,4,1,2,4,2,4,4,1,4,4,4,4,4,2,4,2,2,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,1,4,4,2,2,4
19,"BETO FARO","PT","PA",1,2,1,1,1,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,5,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,4,2,2,1,2,1,2,4,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,4,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,4,1,1,1,2,2,2,4,1,2,4,2,1,5,2,2,1,4,1,2,2,4
340,"BETO MANSUR","PP","SP",1,2,1,1,4,2,2,1,1,4,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,4,1,4,4,2,4,2,1,1,1,1,4,2,1,4,4,4,2,5,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,4,4,2,1,1,4,4,4,1,1,4,1,4,1,4,4,4,4,4,4,4,4,2,4,2,1,1,4,1,1,4,2,4,4,1,1,4,2,4,5,2,4,1,1,4,1,2,4
232,"BILAC PINTO","PR","MG",1,4,4,4,4,2,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,2,4,1,4,1,1,1,1,4,4,2,1,1,1,1,4,2,1,4,4,4,4,5,4,2,2,2,1,5,2,4,4,2,1,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,1,1,4,1,1,4,4,4,4,1,1,2,2,4,4,4,4,4,2,4,2,2,1,1,1,4,1,2,2,2,4,1,1,4,2,1,4,1,2,1,4,1,2,2,5
221,"BONIFACIO DE ANDRADA","PSDB","MG",2,4,4,4,4,1,1,2,2,2,2,4,4,4,4,4,2,2,4,4,4,4,1,4,2,4,2,1,1,1,4,5,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,5,2,4,4,4,4,4,4,4,4,4,2,2,1,2,4,2,1,4,1,2,2,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,2,2,4,4,1,5,4,4,1,5,5,1,5,4,4,5,4
287,"BRIZOLA NETO","PDT","RJ",1,2,1,1,2,4,4,4,1,1,4,4,4,1,4,4,4,1,2,4,4,1,2,4,2,2,1,1,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4,4,2,4,2,4,1,1,1,2,2,4,1,2,1,2,4,2,1,4,4,2,2,1,2,2,2,2,1,4,2,1,1,4,4,4,1,1,4,2,2,4,4,4,2,1,4,2,2,2,1,4,1,4,1,4,4,2,4,4,4,2,4,1,4,2,2,1,1,1,2,4,4
146,"BRUNO ARAUJO","PSDB","PE",2,5,5,2,4,1,1,2,2,2,2,2,4,2,5,2,4,2,2,4,2,1,1,4,2,1,2,1,1,1,4,5,4,1,1,1,1,4,4,5,4,4,4,4,1,4,4,4,4,2,5,2,4,4,4,2,4,4,1,2,4,4,4,4,4,4,2,1,4,4,2,1,1,1,4,2,1,1,1,1,4,4,4,4,4,4,4,4,4,5,4,5,4,2,2,2,2,1,2,2,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4
151,"BRUNO RODRIGUES","PSDB","PE",2,1,5,2,1,1,1,2,2,2,2,2,5,2,4,1,2,2,2,2,2,1,1,2,2,4,2,1,1,1,4,5,5,4,4,4,4,4,5,4,5,5,5,5,4,5,5,1,5,5,5,2,5,5,5,4,5,2,1,4,4,5,4,4,5,2,4,1,4,1,4,1,1,4,2,2,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,4,4,2,4,1,2,2,2,4,4,1,4,4,4,1,4,4,1,4,4,5,5,4
274,"CAMILO COLA","PMDB","ES",1,4,4,4,3,2,4,1,1,1,1,4,4,4,4,4,1,4,1,4,1,1,2,4,1,4,1,1,1,1,4,1,2,1,1,1,1,2,2,1,4,2,1,4,4,2,2,2,4,1,1,4,2,2,4,1,4,1,2,4,4,1,2,4,2,2,1,2,4,2,4,1,1,2,1,1,1,4,4,1,1,4,2,2,4,4,4,4,4,4,2,2,2,1,4,1,1,1,2,2,2,4,4,4,2,4,1,4,2,4,1,4,4,2,2,4
389,"CANDIDO VACCAREZZA","PT","SP",1,2,1,4,3,2,2,1,4,1,1,4,2,1,5,2,1,1,2,2,1,1,2,1,1,5,1,1,1,1,2,1,2,1,1,1,1,2,2,1,4,2,4,2,4,4,2,2,2,1,4,1,2,4,2,1,2,1,2,4,2,4,4,4,4,4,1,4,2,2,1,2,4,2,1,4,4,1,1,1,4,1,2,4,4,2,2,4,1,2,2,2,4,4,1,1,4,4,2,2,2,2,4,4,4,4,4,4,2,2,1,1,1,2,2,4
476,"CARLITO MERSS","PT","SC",1,2,1,1,4,2,2,1,1,1,1,1,2,1,4,2,4,1,2,4,4,4,2,1,1,4,1,1,1,1,2,4,2,1,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,1,1,1,2,2,2,1,4,1,2,4,2,1,2,4,4,2,1,2,4,2,1,2,1,2,1,1,1,1,1,1,4,4,2,2,2,4,4,4,4,2,2,2,2,1,4,4,1,1,2,4,4,4,1,1,2,2,1,5,2,4,1,4,4,2,2,4
399,"CARLOS ABICALIL","PT","MT",1,2,1,1,2,2,2,1,1,1,1,4,2,4,5,2,1,1,2,2,1,1,4,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,4,4,2,2,2,2,1,1,1,2,4,2,1,2,1,2,4,2,1,2,4,2,2,1,4,4,4,1,2,1,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,5,2,2,1,1,4,2,2,5
165,"CARLOS ALBERTO CANUTO","PMDB","AL",1,2,1,1,5,2,2,1,1,1,1,4,2,4,4,2,1,1,1,2,1,1,2,1,1,5,1,1,1,1,2,1,2,1,4,4,4,2,2,1,1,2,1,2,5,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,1,2,1,2,2,1,2,4,2,1,1,1,2,1,4,1,1,1,1,4,1,2,4,4,2,2,2,4,2,2,2,2,1,1,4,1,4,2,2,2,4,1,1,4,2,1,5,4,4,4,4,4,4,4,4
415,"CARLOS ALBERTO LEREIA","PSDB","GO",2,5,5,2,5,1,4,2,4,2,2,2,4,4,4,1,2,2,2,2,2,1,1,2,2,4,2,1,1,1,4,5,5,4,4,4,4,5,4,5,5,4,4,4,4,5,5,1,5,2,5,2,4,4,4,2,5,5,1,4,4,5,4,5,4,4,4,4,2,4,2,1,1,4,4,2,4,4,1,1,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,1,4,4,4,1,4,5,1,4,5,5,5,5
400,"CARLOS BEZERRA","PMDB","MT",1,2,1,1,4,2,2,1,1,1,4,1,2,1,4,2,1,1,2,2,1,1,2,1,1,4,1,1,1,1,2,1,2,1,1,4,4,2,2,1,4,2,1,2,3,2,2,2,2,1,1,1,4,4,2,1,2,1,2,4,2,4,4,4,2,2,1,2,4,2,1,1,1,4,1,1,4,4,4,4,1,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,4,2,2,4,4,1,2,2,2,1,3,2,2,1,1,1,2,2,4
68,"CARLOS BRANDAO","PSDB","MA",2,4,4,2,4,1,1,2,2,2,2,4,4,2,4,1,4,2,2,4,4,4,1,2,2,4,2,1,1,1,4,4,4,1,1,1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1,2,5,4,4,4,5,4,2,1,4,1,2,1,4,1,4,2,1,4,1,1,4,4,4,4,4,4,4,5,4,4,4,4,4,2,2,2,4,4,2,2,2,4,5,1,4,4,4,1,5,4,1,5,4,4,5,4
152,"CARLOS EDUARDO CADOCA","PSC","PE",1,2,1,1,5,2,2,1,4,1,1,1,2,1,4,2,1,1,4,2,1,1,2,1,1,4,1,1,1,1,2,1,4,1,1,1,3,2,2,1,1,2,4,2,5,2,2,4,2,4,1,3,4,4,2,4,2,4,4,4,2,4,4,1,2,2,1,2,2,2,4,4,4,2,1,1,4,4,4,4,4,4,4,2,2,2,2,2,1,2,2,4,2,1,1,1,4,1,2,2,2,5,1,1,2,2,1,4,2,2,1,1,1,2,4,5
226,"CARLOS MELLES","DEM","MG",2,4,5,2,4,1,1,2,4,2,2,2,5,4,4,1,4,4,4,4,4,4,2,4,2,4,2,4,4,4,4,5,4,4,1,1,1,4,5,5,5,4,5,5,4,4,4,1,5,2,4,2,4,4,5,2,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,1,1,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,1,4
338,"CARLOS SAMPAIO","PSDB","SP",2,3,4,2,4,1,1,2,2,2,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,4,4,5,1,4,4,1,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5
290,"CARLOS SANTANA","PT","RJ",1,4,1,1,2,4,4,4,1,1,1,1,4,1,4,4,4,4,4,4,1,1,2,4,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,4,2,1,1,1,2,2,4,1,2,1,2,4,2,1,4,1,2,2,1,4,2,4,1,2,1,2,1,1,1,1,1,1,1,4,2,2,2,2,2,2,1,2,2,2,2,1,4,1,1,1,2,4,4,4,4,4,4,4,4,4,2,2,1,4,1,2,2,3
37,"CARLOS SOUZA","PP","AM",1,2,1,1,4,2,2,1,1,1,4,1,4,1,4,1,4,2,2,4,4,4,1,4,1,4,4,1,1,1,2,1,2,1,1,1,1,4,4,1,1,2,1,2,4,4,4,4,4,4,4,4,4,2,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
222,"CARLOS WILLIAN","PTC","MG",1,4,4,1,4,4,2,1,4,1,4,1,2,4,4,2,1,1,1,2,4,4,2,4,1,2,1,1,1,1,4,4,2,4,1,1,4,4,4,4,1,2,1,4,4,2,2,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,2,1,4,4,1,2,2,4,4,1,4,2,1,1,1,1,1,1,4,1,2,4,2,4,4,4,1,2,2,4,4,1,4,4,1,4,4,4,2,4,1,1,2,2,1,3,4,4,4,1,4,2,2,4
153,"CARLOS WILSON","PT","PE",1,4,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
398,"CARLOS ZARATTINI","PT","SP",1,2,1,1,4,2,2,1,1,1,4,1,4,4,4,2,4,1,2,2,1,1,2,4,1,4,1,1,1,1,2,4,2,4,1,1,1,2,2,1,4,2,4,2,4,4,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,4,4,4,4,4,4,4,2,2,1,2,1,4,1,4,1,1,1,4,4,4,2,2,4,4,4,4,4,2,2,4,2,1,1,1,4,1,4,2,2,5,1,1,2,2,1,4,4,2,1,4,1,2,2,2
472,"CELSO MALDANER","PMDB","SC",1,2,1,1,4,2,2,1,1,1,4,1,2,1,4,2,4,2,2,2,1,1,4,4,2,4,1,1,1,1,4,1,4,1,1,1,1,2,4,1,1,2,1,2,4,2,4,2,2,1,1,1,2,2,2,1,4,1,2,4,2,4,4,4,2,4,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,4,2,4,2,2,2,4,1,2,4,2,2,1,1,1,1,1,2,2,2,4,1,4,2,2,1,5,2,2,1,4,1,2,2,5
344,"CELSO RUSSOMANNO","PP","SP",1,2,1,1,1,4,2,4,1,1,4,1,4,1,4,1,1,4,4,4,1,4,2,1,1,4,4,1,1,1,2,2,2,1,1,1,1,4,2,4,1,4,1,2,4,4,4,4,2,2,4,2,4,2,2,1,4,1,2,4,2,4,4,4,4,4,2,2,2,4,2,1,1,2,1,1,1,4,1,1,4,1,2,4,2,2,2,4,1,2,4,4,2,1,4,4,4,1,4,2,2,3,4,1,2,2,1,4,2,2,1,4,1,1,2,4
527,"CEZAR SCHIRMER","PMDB","RS",4,4,2,1,4,4,2,1,1,1,1,4,2,1,4,4,1,2,1,4,4,4,1,1,2,4,4,4,1,1,2,4,2,1,1,1,1,2,2,1,2,4,1,2,4,2,2,4,2,1,1,1,4,4,2,1,4,1,2,4,2,1,4,4,4,4,4,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4,2,4,2,2,2,1,2,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
447,"CEZAR SILVESTRI","PPS","PR",2,2,2,1,4,1,1,2,2,2,4,4,5,2,4,2,2,2,1,2,1,1,1,2,2,4,2,1,1,1,1,5,4,1,1,1,1,5,5,5,4,5,5,4,4,5,5,1,5,2,5,2,5,5,5,2,5,5,1,2,4,1,2,2,4,2,2,4,2,2,2,1,1,2,2,2,1,1,1,1,1,1,5,5,4,4,4,4,4,4,4,5,5,2,2,2,4,1,2,2,2,4,1,1,4,5,2,1,5,5,1,5,5,5,1,4
537,"CHICO ABREU","PR","GO",1,2,1,1,1,2,2,1,4,1,1,1,2,1,4,1,4,1,1,2,1,1,2,1,1,4,1,1,1,1,4,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,4,4,1,4,1,2,2,2,1,2,1,2,4,2,4,2,1,4,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,"CHICO ALENCAR","PSOL","RJ",2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,4,2,2,5,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,4,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,2,2,2,5,2,1,1,2,1,2,2,1,2,4,2,1,1,2
446,"CHICO DA PRINCESA","PR","PR",1,2,1,1,4,4,4,4,4,4,4,1,2,1,4,1,1,1,2,4,1,1,4,4,4,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,2,2,2,2,1,1,1,2,2,2,1,2,1,2,4,2,4,4,4,2,2,4,2,2,2,2,1,1,2,1,1,1,1,1,1,4,4,2,2,2,2,2,2,1,2,2,2,2,1,1,1,4,1,2,2,2,4,1,1,2,2,1,4,2,2,1,1,1,2,2,4
289,"CHICO DANGELO","PT","RJ",1,2,1,1,4,2,2,1,1,1,1,1,2,4,2,4,4,4,4,4,4,4,2,1,1,4,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,2,2,2,1,2,1,2,4,2,1,2,1,2,4,1,2,2,2,1,2,1,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,4,1,2,2,4,1,5,4,2,1,1,1,2,2,2
88,"CHICO LOPES","PCdoB","CE",1,2,1,1,4,2,2,1,1,1,1,1,2,1,4,2,1,1,1,2,1,1,2,1,1,4,1,1,1,1,2,4,2,1,1,1,1,2,2,1,1,2,1,2,4,2,4,2,4,1,1,4,2,2,2,1,2,1,2,4,2,1,2,1,2,2,1,2,4,2,1,2,1,4,4,4,1,1,1,1,4,4,4,2,2,2,2,4,1,2,2,2,2,1,1,1,1,1,2,2,2,4,1,1,2,4,1,4,2,2,1,1,1,2,2,4
