"id","name","party","state","vote.2650","vote.2652","vote.2654","vote.2659","vote.2660","vote.2664","vote.2665","vote.2671","vote.2673","vote.2674","vote.2675","vote.2677","vote.2680","vote.2681","vote.2684","vote.2726","vote.2727","vote.2728","vote.2729","vote.2730","vote.2731","vote.2732","vote.2735","vote.2737","vote.2739","vote.2741","vote.2744","vote.2746","vote.2747","vote.2748","vote.2749","vote.2751","vote.2752","vote.2753","vote.2757","vote.2758","vote.2761","vote.2762","vote.2763","vote.2776","vote.2777","vote.2781","vote.2784","vote.2785","vote.2788","vote.2789","vote.2790","vote.2791","vote.2792","vote.2793","vote.2795","vote.2796","vote.2798","vote.2799","vote.2804","vote.2813","vote.2815","vote.2816","vote.2817","vote.2818","vote.2830","vote.2831","vote.2834","vote.2841","vote.2842","vote.2844","vote.2846","vote.2854","vote.2855","vote.2856","vote.2857","vote.2858","vote.2859","vote.2860","vote.2861","vote.2868","vote.2869","vote.2920","vote.2921","vote.2922","vote.2925","vote.2926","vote.2927","vote.2928","vote.2929","vote.2930","vote.2932","vote.2935","vote.2936","vote.2937","vote.2941","vote.2942","vote.2943","vote.2945","vote.2947","vote.2948","vote.2949","vote.2950","vote.2953","vote.2955","vote.2957","vote.2958","vote.2961","vote.2962","vote.2964","vote.2967","vote.2968","vote.2970","vote.2972","vote.2973","vote.2975","vote.2976","vote.2977","vote.2978","vote.2979","vote.2980","vote.2981","vote.2982","vote.2983","vote.2984"
501,"JOSE OTAVIO GERMANO","PP","RS",2,4,2,1,2,1,2,1,1,4,4,4,3,1,1,1,2,4,4,4,4,2,2,2,1,2,2,4,2,2,4,4,1,2,4,2,1,2,2,2,2,1,2,2,1,1,1,1,1,4,1,4,4,1,2,1,1,1,4,4,1,1,1,1,4,1,4,5,4,2,1,1,2,1,2,2,1,2,2,2,4,4,4,2,1,4,4,4,4,4,4,4,2,2,4,1,4,4,4,2,4,4,1,4,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4
378,"JOSE PAULO TOFFANO","PV","SP",1,4,2,1,2,2,2,1,1,4,5,1,4,1,1,1,4,2,4,1,4,4,2,4,4,4,2,2,4,2,2,2,4,4,4,4,4,4,2,4,2,4,2,4,4,4,2,4,4,5,1,1,1,2,2,1,1,1,1,5,1,1,1,2,1,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,4,4,2,1,1,1,2,4,2,4,2,1,4,1,1,2,4,4,2,2,4,4,1,1,1,1,4,2,1
97,"JOSE PIMENTEL","PT","CE",2,4,4,1,2,2,2,4,1,4,1,1,1,1,1,4,2,2,2,2,2,2,2,4,1,2,2,2,4,2,2,2,2,2,1,2,1,4,2,2,4,4,4,2,2,1,4,1,1,4,1,4,1,2,2,1,2,1,1,5,1,4,1,1,2,1,4,4,4,2,2,2,2,1,4,1,1,2,2,2,1,1,1,4,1,2,4,4,2,2,1,2,2,2,4,4,4,4,4,4,2,2,1,2,1,2,2,2,2,2,2,4,4,1,1,1,1,1,2,1
203,"JOSE ROCHA","PFL","BA",1,4,5,2,5,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,"JOSE ROCHA","PR","BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,5,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,1,1,2,1,4,2,2,1,2,1,2,2,2,4,2,2,2,2,1,1,1,1,1,2,1
249,"JOSE SANTANA DE VASCONCELLOS","PR","MG",2,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,1,1,1,2,4,4,4,4,4,1,1,1,1,4,2,4,4,1,4,2,2,1,1,2,2,2,4,2,4,1,1,1,4,4,2,4,2,2,2,1,4,2,4,1,1,1,2,1,2,2,2,1,2,1,2,4,4,2,2,4,2,2,1,1,1,1,1,2,1
522,"JOSEPH BANDEIRA","PT","BA",NA,4,4,4,4,2,2,1,1,4,1,1,1,1,1,1,2,2,2,2,4,2,2,4,1,2,2,4,4,2,2,2,1,2,1,2,1,2,2,4,2,1,5,4,1,1,2,1,1,4,1,1,1,2,2,1,2,1,4,5,1,1,4,1,4,2,4,5,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,4,2,1,2,2,2,1,2,1,2,2,2,4,2,2,2,2,1,1,1,1,1,2,1
419,"JOVAIR ARANTES","PTB","GO",2,4,2,1,2,1,2,1,1,1,1,4,1,1,1,4,2,2,2,4,2,4,4,4,1,2,4,2,2,2,2,2,4,2,1,2,1,4,2,2,2,1,4,2,1,1,4,1,1,4,1,1,4,4,4,4,2,1,1,4,4,1,4,1,1,2,4,4,1,4,4,2,2,4,2,2,2,4,2,4,1,4,4,2,1,2,2,2,4,2,1,4,2,2,1,1,1,2,1,4,2,2,1,2,1,4,4,2,2,2,2,2,2,1,1,1,1,1,2,1
77,"JULIAO AMIN","PDT","MA",2,4,4,1,2,2,2,2,1,4,5,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,4,1,2,1,2,1,2,2,4,4,1,4,2,1,1,2,1,1,5,1,1,1,2,4,1,2,1,1,4,1,4,1,1,4,4,4,1,1,4,4,4,4,4,4,4,4,2,2,2,1,1,1,4,1,2,4,2,4,2,1,2,2,2,1,1,1,2,1,2,4,2,1,2,1,2,4,4,2,2,2,2,2,1,1,1,1,1,2,1
114,"JULIO CESAR","DEM","PI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,4,1,1,2,1,1,4,1,1,1,1,2,1,1,1,1,4,1,1,1,3,5,1,4,4,1,2,2,4,2,1,2,2,2,2,5,2,1,4,2,4,5,4,2,2,2,2,4,4,4,2,1,1,4,4,4,4,2,4,4,4,4,2,2,2,2,4,4,3,3,1,1,3,3,3,1,1
114,"JULIO CESAR","PFL","PI",1,4,5,2,5,1,1,4,4,1,1,2,1,2,2,1,2,4,2,4,2,4,2,2,1,2,4,4,2,2,4,4,4,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,"JULIO DELGADO","PSB","MG",2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,2,2,2,4,4,4,2,2,1,1,2,2,4,2,2,1,1,2,1,2,1,2,2,2,4,1,2,2,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,4,1,1,1,2,1,2,2,5,1,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,1,2,2,2,2,2,4,2,2,2,1,1,1,2,1,2,3,2,4,4,4,4,2,2,2,2,4,2,2,1,1,1,3,1,2,1
499,"JULIO REDECKER","PSDB","RS",2,4,4,2,5,1,1,2,1,1,1,2,2,2,2,2,2,1,4,1,2,5,5,4,4,1,2,2,4,2,4,1,2,2,2,1,1,2,2,4,4,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,4,4,4,4,2,1,2,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,"JULIO SEMEGHINI","PSDB","SP",2,4,5,2,5,1,1,2,1,4,4,2,2,4,2,4,2,1,5,1,4,5,4,4,4,1,2,2,2,2,4,1,4,2,2,1,1,2,4,4,2,2,2,1,2,4,1,1,2,2,2,2,2,4,4,4,1,1,1,2,4,2,2,2,2,2,4,2,1,4,2,4,1,1,2,2,2,5,4,4,2,2,2,5,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,5,4,2,2,4,4,4,4,4,5,4,4,2,2,2,2,5,2
14,"JURANDIL JUAREZ","PMDB","AP",4,4,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,4,4,2,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,5,4,1,1,1,2,1,5,5,4,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
276,"JURANDY LOUREIRO","PAN","ES",2,4,2,1,2,1,2,1,1,2,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,4,4,2,4,4,2,4,1,3,1,1,5,1,1,1,1,2,1,1,1,1,5,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"JURANDY LOUREIRO","PSC","ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,1,4,4,2,2,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,2,1,1,1,1,1,4,1
276,"JURANDY LOUREIRO","PTB","ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,4,2,1,4,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,4,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"JUSMARI OLIVEIRA","PFL","BA",2,4,2,1,2,1,1,1,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"JUSMARI OLIVEIRA","PR","BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,2,2,4,4,2,1,2,2,4,2,2,2,2,1,2,1,2,1,2,2,2,4,4,5,4,4,1,4,4,1,4,4,1,1,1,2,1,1,1,1,4,4,4,4,1,4,2,4,4,2,2,4,2,4,2,1,2,2,2,2,2,1,4,1,2,4,2,4,2,4,2,1,4,4,4,1,1,4,2,1,4,2,4,1,4,4,2,2,2,4,2,2,4,2,1,1,1,1,1,2,1
206,"JUTAHY JUNIOR","PSDB","BA",2,4,1,2,4,1,1,2,1,1,1,2,2,2,2,2,2,1,5,1,2,5,5,5,5,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,5,2,1,2,4,1,1,1,2,2,2,5,4,5,2,2,2,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,5,4,5,4,5,2,2,4,5,5,5,5,5,4,2,2,2,2,2,4,2
254,"JUVENIL ALVES","PT","MG",4,4,4,3,2,2,2,1,1,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"JUVENIL ALVES",NA,"MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,4,2,4,2,1,4,2,2,2,2,2,4,4,2,1,2,1,2,2,2,4,1,2,2,1,1,2,1,1,4,1,1,1,2,2,1,1,1,1,4,1,1,1,1,2,1,4,4,1,2,4,2,2,1,4,2,2,4,2,2,1,1,1,4,4,2,2,2,2,2,1,2,3,4,1,1,1,2,1,4,4,2,3,3,3,2,4,2,4,1,2,1,1,2,2,2,2,2,2,2
245,"LAEL VARELLA","DEM","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,2,1,1,2,1,1,4,1,1,1,2,2,1,2,1,1,4,4,4,4,1,3,1,4,4,1,4,2,4,2,1,2,4,4,4,4,4,4,4,4,2,1,2,4,4,2,4,4,4,4,2,1,4,4,4,4,3,3,4,4,2,1,1,4,4,4,3,4,3,3,4,4,4,4,4,3,4
245,"LAEL VARELLA","PFL","MG",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,2,2,2,4,4,2,1,4,1,4,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,"LAERTE BESSA","PMDB","DF",2,4,2,2,2,1,2,2,1,1,4,4,4,4,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,4,4,2,4,2,1,2,4,2,2,1,3,2,1,1,2,1,1,4,1,1,1,1,2,4,1,1,1,4,1,1,1,2,2,1,5,5,5,2,4,1,4,1,2,1,2,2,2,2,4,4,4,2,1,2,2,2,2,2,1,2,4,4,1,1,1,2,1,4,4,4,5,5,1,2,2,2,2,2,4,2,2,1,1,1,1,1,2,1
62,"LAUREZ MOREIRA","PSB","TO",2,4,2,1,2,2,2,1,1,4,1,1,1,1,1,1,2,2,2,2,4,2,2,4,1,2,2,2,2,2,2,4,4,2,1,2,1,2,4,2,2,1,4,2,1,1,1,1,1,4,1,4,1,1,2,1,1,1,1,4,1,1,1,1,1,2,4,4,1,2,4,1,2,1,2,2,2,2,2,2,4,1,1,2,1,2,2,2,4,4,1,4,2,2,1,1,1,4,1,4,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
63,"LAZARO BOTELHO","PP","TO",2,4,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,4,2,2,2,4,4,2,1,2,1,2,2,2,2,1,4,2,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,2,4,4,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,2,4,2,2,2,2,2,1,4,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
308,"LEANDRO SAMPAIO","PPS","RJ",1,4,5,2,5,1,2,2,1,1,1,4,4,4,4,4,4,1,1,1,2,4,1,4,4,4,2,2,2,4,4,1,4,4,4,4,4,4,4,4,4,2,2,1,1,1,4,1,2,2,2,2,2,4,1,2,3,1,2,4,1,2,2,2,2,1,4,4,1,1,1,1,4,1,4,1,1,5,4,2,2,4,2,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,2,4,2,2,2,4,2
420,"LEANDRO VILELA","PMDB","GO",4,4,4,1,2,1,2,1,1,1,1,4,1,1,1,1,4,2,2,4,4,2,2,2,4,2,2,2,2,2,4,2,4,2,1,4,1,2,2,2,4,1,4,4,1,1,1,1,1,4,1,1,1,1,2,4,1,1,1,4,1,1,1,1,2,1,4,1,1,2,4,4,2,1,2,1,1,2,2,4,1,4,1,2,1,2,2,2,2,2,1,2,2,4,1,1,1,2,1,4,2,4,1,2,1,2,4,2,2,4,4,2,2,1,1,1,1,1,2,1
277,"LELO COIMBRA","PMDB","ES",2,4,2,1,2,2,2,1,4,1,4,1,4,4,2,4,2,2,4,2,2,2,1,2,1,1,2,2,2,2,4,2,1,2,1,2,1,2,4,2,2,1,4,4,4,1,4,4,4,4,1,4,1,1,2,1,1,1,1,4,1,1,1,4,1,1,4,1,4,2,1,1,4,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,3,4,1,4,2,4,1,1,1,4,4,2,4,3,3,2,2,2,2,4,2,2,2,2,2,1,1,1,1,1,4,1
98,"LEO ALCANTARA","PR","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,4,2,2,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,4,4,2,1,1,4,1,1,4,1,1,4,1,2,1,1,1,1,4,1,1,1,1,1,2,4,1,2,2,1,2,1,4,4,2,2,2,2,2,4,4,4,4,1,2,2,2,1,1,4,4,1,1,2,5,2,1,4,1,1,5,3,3,1,2,4,3,2,3,3,3,3,1,1,1,1,1,2,1
98,"LEO ALCANTARA","PSDB","CE",4,4,1,2,5,1,1,2,1,4,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,"LEO VIVAS","PRB","RJ",2,4,2,1,2,1,2,4,1,2,5,4,1,1,1,1,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,1,4,1,2,2,4,2,4,5,4,1,1,4,1,1,5,1,1,1,2,2,1,1,1,1,4,1,1,1,1,1,2,5,4,2,2,4,1,1,1,2,2,2,2,4,4,1,1,1,2,1,2,4,2,2,3,1,4,2,2,1,4,1,4,1,2,2,2,1,2,1,2,4,4,2,2,2,2,2,1,1,1,4,1,2,1
253,"LEONARDO MONTEIRO","PT","MG",2,4,2,1,2,2,2,1,1,4,1,1,1,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,4,1,4,4,4,4,1,4,2,1,1,1,4,1,4,1,1,1,2,2,1,2,1,4,5,1,1,1,4,4,1,4,4,1,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,1,4,4,4,4,4,4,2,2,2,4,1,1,2,1,2,2,2,1,2,1,2,2,4,2,2,2,4,2,1,1,1,1,1,2,1
312,"LEONARDO PICCIANI","PMDB","RJ",2,4,2,4,2,1,4,4,1,1,1,4,1,1,3,1,2,2,2,1,4,4,4,2,1,1,2,4,2,4,4,2,4,4,1,2,1,2,2,4,4,1,5,2,1,4,1,1,4,4,1,1,4,1,2,4,1,2,2,4,1,1,1,2,1,2,4,4,4,2,1,1,2,1,2,4,2,4,4,2,1,1,1,4,1,4,2,1,2,4,1,2,2,2,1,4,1,2,4,2,4,2,1,2,1,2,2,4,2,2,2,2,2,1,1,1,1,1,2,1
255,"LEONARDO QUINTAO","PMDB","MG",4,4,4,4,4,1,2,4,4,1,4,4,1,4,2,1,2,2,2,4,4,4,2,2,1,2,2,2,2,2,4,4,4,2,1,2,1,2,4,4,2,1,3,2,1,1,2,1,1,4,1,1,1,1,2,1,4,1,1,4,1,1,1,1,2,1,4,1,1,4,4,4,4,4,4,4,4,2,4,4,1,1,1,2,1,4,4,4,4,4,4,4,2,4,1,1,1,4,4,3,4,4,5,4,1,2,2,2,4,2,4,2,2,1,1,1,1,1,2,1
421,"LEONARDO VILELA","PSDB","GO",2,4,1,2,5,1,1,2,1,1,1,2,2,2,2,2,2,1,5,1,2,5,5,5,5,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,4,2,1,4,4,4,1,1,2,2,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,2,2,2,4,5,5,5,4,4,4,2,2,2,2,2,1,2
196,"LIDICE DA MATA","PSB","BA",2,4,2,1,2,2,2,1,1,1,3,4,4,1,1,4,2,2,2,2,4,2,2,4,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,4,4,4,2,1,1,1,2,4,4,4,1,1,4,2,2,1,1,1,1,4,4,4,4,2,2,4,4,4,4,2,2,1,2,1,2,2,4,2,2,4,4,1,1,4,4,2,2,2,2,2,1,2,2,2,1,1,4,2,1,2,2,2,1,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
243,"LINCOLN PORTELA","PR","MG",2,4,2,1,2,1,2,1,1,1,2,1,4,1,1,1,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,4,4,2,3,1,2,1,1,4,1,1,1,1,2,1,2,1,1,4,1,1,1,1,1,2,4,1,2,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,1,2,2,2,2,2,1,4,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
45,"LINDOMAR GARCON","PR","RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,1,2,1,2,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"LINDOMAR GARCON","PV","RO",1,4,4,1,2,1,2,1,1,2,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,2,1,1,3,1,1,4,4,4,4,2,2,1,1,1,1,4,1,1,1,1,5,1,5,4,4,2,2,2,2,4,4,2,2,2,2,2,1,1,1,2,1,4,4,4,4,4,4,4,2,2,1,1,1,4,1,2,2,2,1,4,1,2,2,2,2,4,2,2,2,1,1,1,1,1,1,4
28,"LIRA MAIA","DEM","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,1,1,2,1,1,2,2,2,2,2,1,1,4,4,4,4,4,2,2,2,2,2,1,5,4,1,2,2,1,2,1,2,1,1,4,1,5,2,2,2,5,5,5,5,5,4,4,4,5,4,4,5,5,5,5,4,5,4,5,5,1,2,1,4,5,5,5,5,5,5,2,2,2,2,2,5,2
28,"LIRA MAIA","PFL","PA",1,4,3,2,5,1,1,2,1,1,1,2,1,2,2,5,5,5,5,1,5,4,5,4,4,1,5,4,5,5,5,1,4,5,2,1,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,"LOBBE NETO","PSDB","SP",4,4,1,2,4,1,1,4,4,4,4,2,2,4,4,2,2,1,4,1,4,5,4,2,4,1,2,2,4,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,4,2,1,2,2,1,1,1,2,2,2,4,5,5,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,2,1,5,5,4,4,5,5,5,2,2,2,2,2,3,2
